CSAT Score,cleaned_remarks
5,good
5,thank much cleared enquiry
5,thenk
5,acche se samjhaye
5,talking mr understood issue immediately raised also
1,order played around pretty sure order wil cancelled atlesst guts cancel right away play games seller idiot provide updates
5,excellent
2,puts call hold
5,thank u
5,excellent customer service
3,receive msg promised adviser
5,good
5,payment related issue resolved earliest
5,thnx sir
4,correct return policy correct customer support
4,good service service call center
4,customer direct call willbe availlable
5,good
1,worst service coustomer support delivery agent misbehaving
5,
5,executive frndly nd good behaviour
5,make policies flexible customer service associate could help us immediately instead providing us promise dates
5,good
5,excellent
5,thank
4,happy
5,better
5,good
5,good
5,good job
1,issue not resolved
1,give refund replacement within time
1,first teach talk gracefully customer
5,please solve issue tired complaints large orders things continuously must stop shopping shopzilla
5,no comment
5,good
1,extremely dissatisfied
5,thank shopzilla
4,good
5,hcgvvy
1,bad service
5,understands customer clearly
5,bohut achha baat kiya sob kuch achha hai
5,wishmaster sends otp login shopzilla account might possible sometime sends otp vanish bank amount bank account shopzilla getting worse day day
5,not much needed improve
1,worst
5,lovely good communication
5,arrange early resolution
5,thanks
1,refund not given delays
1,thenkyou
1,slow delivery iam waiting order
5,polite person problem solved quickly love shopzilla always
5,please deliver orders time specially pin code 248007
1,team not short problem
5,good
1,not delivered product arjent product
5,products year import mentioned also buy
1,no help end
5,customer care good service
5,amazing job rescue time energy please care tq
5,good
5,good experience
2,first send order properly main address
5,nothing
4,good
5,
5,customer executive good informative highly appreciated product packaging bad
5,good
5,thanks
5,good
1,bad experience delivery partner called telling thay reattempted please discard
5,good
1,koi bhi prakar ki sunai nhi meri problem suno samjo muje mere refand dilwa please request
5,good behaviour soft spoken
5,lenguage good recpect
5,coronation good
5,nice conversation executive
5,thanks
5,good website shopping
5,blacklist fraud sellers
5,thank meri baat suune apse baat kiya toh apne bhout acche se smjha diya
5,return resplacement policies shopzilla worse superbuy
4,consignment delivered open box delivery executive get properly checked customer
1,not able resolve query
5,happy
5,nothing
1,shopzilla give us c class online service
5,ensure delivery partner not fraud
5,remove upgrade chatbot
1,executives lying told placing order send us email adding gstin order placed update backend executives saying provided wrongful information no provision exists bearing loss 12 15 thousand rupees bcz incompetent staff fraudulent practices ideally provide box add gstin number payment page standard practice never purchasing anything shopzilla ever worst worst experience pay extra get elsewhere buy guys deal rude incompetent staff
1,poor customer service no resolution provided
5,shopzilla service executive resolved issue quickly
5,please add bengali language customer support section via executive
5,thank u
5,nice
5,ijk
1,executives shit next time not place orders product not delivered no one responsible shit service
1,customer service pathetic neither deliver nor cancel showing delivery last 5 days better forget pre paid grocery order
5,good
1,refund
1,rechaved flever
5,good sports sirok
1,please call customer resolve issue time
5,everything good
4,need n number improvement services prices trust
1,bad product
5,thanks support
5,bahut achhe se baat sir
1,zero
5,
5,nice conversation customer support appreciating
1,totally frustrated shopzilla support team worst service ever
1,order cancelled saller end
1,not happy problem solve not deposit amount rs 1899 pls quick slove problem
1,worst online shopping app
5,good
1,agent address customer issue resolve instead providing unethical reasons
5,good
5,thank
5,good
5,happy shopzilla
1,worst experience shopzilla cancelling product without knowledge customer
5,provide delivery person mobile number
3,good
1,miss guide wrong information
4,good
5,thank
1,problem not short customer care executive request please solve product issue warranty
5,best
1,pothatic nature shopzilla customers employees abusing customers not picking calls complaining 4 times bad not expected shopzilla disappointed going delete app stop shopping app ansuding language agaithe customers bye bye shopzilla also returning items order recently make aware shopzilla user not go shopzilla thankyou
5,best customer service
5,thank sir
1,receive product
5,nice communication
5,thnx
5,specific contact way phone call
5,amazing helping lot
5,awasome experience
5,good executive understanding quickly thank u
1,yesterday phone delivered facing issue hanging laking also hardware issue customer care not help issue also product 7 days replacement policy customer care not exchange product tolt please contact brand totally frested tell type resolution
5,thanks monika support
1,sad team installation hat shopzilla
1,bad
5,thanks shopzilla
5,language not available communicate customer care executive
1,shopzilla best application products providing issue 3thre party always credit card payment done product not received 7 working day back money please shopzilla sport cumtmers active business policy thank
5,customer care service impressive
4,good
5,thank
5,good
5,good
1,bad
3,solve coustomar issue properly
1,fake delivery agent no product delivered fake chheat
5,awesome
5,proper inspection seller product sold shopzilla
5,good
4,happy
5,improvement mobile exchange policy
1,hi ur executive clever person solve issue erlier executive hopeless
3,
5,good
5,none thanks
1,bad responce
5,good
5,good
5,good
5,two orders missing till date got refund
5,please give customer care number app
5,nothing
5,customer care executive ke pass article ki actual complete detail honi chaiye sab
5,please openly provide information regarding called open box delivery bold letters please mention open box delivery
5,best
5,nothing
4,please provide customer care complain desk
5,nice behaviour customer service representative thank shopzilla please feedback check please solve concern please add supercoin deal 1 rs example headphones speaker watch puma shoes veirdo oversized tshirt etc maximum products add supercoin deal 1rs 49rs 99rs deal please add product supercoin expired maximum future soon please shopzilla shopzilla team focused concern thank
5,aap sellers bolo k sahi product send karen picture mai kuch aur tha send kuj aur kar diya not match even one thing match picturethx
5,everything good
5,good work
5,nice
4,problem solving lates
5,return policy poor agent good
5,good
5,representative talked manner keep
1,shopzilla frod company
5,good
1,still issue not resolved please asap
1,unresolved issue formal noticedear sir madam writing bring attention ongoing issue facing recent purchase shopzilla order placed 15th july since diligently trying connect customer service team every 3rd day attempt resolve matter no avail timeline provided service team resolution not acceptable caused undue inconvenience distress already submitted doa certificate authorized service station along photo packing faulty laptop 31st august customer service team assured would receive update within 24 48 hours however disappointment no response progress resolving issue since demand new replacement laptop delivered within next 24 48 hours event company unable adhere reasonable timeline request promptly inform issue remains unaddressed unattended no choice resort legal action submitting complaint consumer court
4,give options no return policy send damage wrong quality issues products
1,customer care support not want solve issue always convey thing customer see app no action taken case closed without solution unilateraly
2,poor
1,please return product
4,discussion call received transaction 26k team confirmed not site expect call spam
5,good support
5,good going keep ensure right product orignal product reach cuatomer
5,happy
5,good performance
5,good
5,customer care service boy behaviour good nice
3,following refund since week not received yet please process asap
5,best
5,
5,coustomer support awesome
1,bed feed back
3,nice
5,thanks
4,ok
5,every time help
5,
1,sir opening new seller account used inside spelling wrong please try correct mailed many times no response coming shopzilla side nor call coming not satisfied service shopzilla
5,none
5,solve
5,tq
5,good
5,excellent
1,worst experience shopzilla
5,kajal polite respectful understand customer problem help good manner thanks kajal thanks shopzilla providing responsible person customer executive
5,exxlent
5,customer executive supportive
5,awesome service
5,govind
5,thank support
4,good job
5,good job
5,solution oriented
1,worst service feel shopzilla
5,ok
5,ok
5,nothing
5,nice
3,customer executive voice not clear audible said wait 24hrs get clarification order pending state 24hrs long time wait get clarification order also payment stuck given order
5,love shopzilla trust platform need refund please return
1,first time requested return hassle return product delivery boy said damaged package returned app request customer team asking upload image product different angle believe customers no one going tell lie small thing
4,customer care supporting good
5,no thanks
5,thnkk uuu
5,good person attend call
5,good
5,
5,better experience
1,4th time delivery denied pick return give excuses senior staff denied pick time delivery denied pick rescheduled tomorrow automatically cancelled end time also denied pick make false statement rescheduled time also thia pick rejected automatically logistics end service shopzilla give customers report complaint company consumer forum
1,return cancelled automatically sad regular customer shopzilla around many years choose another online shopping site
5,damaged prodact
5,thank
5,please watch delivery executives carefully not type issue customer
4,check twice delivery
1,asked smart card warranty invoice provided product invoice
5,good
1,want understand issue
5,good behaviour customer support
5,make option share screenshots today world smartphone show proofs
5,super good
5,good
1,bad service executive customer spport employees indeciplane
5,good support customer carethanks
5,communication skills helpful
1,bad service always waste time costomer shopzilla never shopping shopzilla
5,no
5,
5,everything great
5,good customer care experience
5,excellent customer care services
5,tnx
4,please refunds
5,executive information helpful
5,good customer exclusive supporter
5,nice talk executive
4,better
3,didn闁剧粯娲濋崝鍛存嚇閻 give money want refund
5,good
5,lovely
5,good work
1,team not solving issue since last 30 daus
5,thanks
5,good behaviour
5,good
4,keep
5,return policy improve karo plz
1,please return product
1,oder nhi declined oder
5,good service customer like
5,good
5,no
5,thanks supprt
5,excellent
5,good
5,add language customer care
3,money deducted order not placed
1,worrest experience not seen anywhere except time simply loose amount think gambling even unable credit amount original bank account also see amount pay later account also trying book item cancelling item wondering see pay later option like item payment option see cheeting customers days
5,nice nice service sorry misunderstanding raised wrong complaint apologies delivery guy genuine guy apologies
1,word customer support executive assured order delivered 11 pm today see order reached yet pathetic experience customer support
1,hello
5,good
5,loved
5,thanks
5,hi
5,good
5,v nicely
5,sweet
4,thanks
5,good
5,thank shopzilla support teem
1,customer care executive not qualified person not even pronounce properly even spell words
4,refund time
5,thank
4,improve ur retrn policy
5,happy
1,customer care note support product women nightie 2 months not refund money
1,shoes not resolve
1,bad experience shopzilla
5,nice
5,best
5,nothing
1,shopzilla executives not helpful receive calls disconnect without giving solution
5,excellent
1,instelition
1,facing problem returning order 15 20 days got zero support customer care order still not picked
5,want win lottery make money buy ticket
5,better response qualified person thank
1,automatically order canceled
5,nice voice
1,everyone saying thing please wait 24 48 hrs solve problem nothing happened
5,nicccccceeeeeeeeeeeeee
5,nice easily connected customer call
5,thanks
1,chal rahi aur charging mein dikkat rahi hai
1,time time not work systeem
5,happy
5,bahut achcha
5,nice interaction customer care executive
5,good
5,thankyou
5,good job mayank brother
5,awesome
5,helpful
4,old customer support quite better onewe directly reach executive question n problem n first ask u r ok ot not make change
5,good
5,excellent talked experienced person full faith solution done thank sir behavior good needs people provide right service system
5,nice sole
1,no response customer care
5,nice
5,worst experience shopzilla
2,
5,good
5,satisfied
5,good
5,happy
5,
1,bad customer support services provided shopzilla understand actual problem customer waste time not provide solution customer
1,nothing use
5,excellent knowledge skills
5,good person
5,payment due not good
3,talk customer support quaries know information
5,good job
5,good
5,no nothing
5,plz deliver product time
5,spoken person
5,thank customer service center
4,good
1,worst experience
1,tm log nai kar rahe mere paise paise waps karo
1,bad experience
5,delivery boy not good improve delivery facility
1,make ambiguous false representation product page
5,need penalty wrong item slow service bacause trust know shopzilla not sellar
5,gjjjzjxgxteuhxgxe5xhxh
5,good
4,stop delivering used defective product customer
1,not helpfull
5,nice
1,wakvas
5,conveyance
1,raised concern something executive cut call even hold cut call call even issue still exist customer service giving customers
5,thik thak hai loan customer service number dena chahiye taki direct bank walo see bat kar paye
4,customer service good satisfying issue not solved no updates like ticked raised looking issue something related application prefer getting information regarding issue application rather e mail phone communication would great experience wrong product replaced product ordered
5,good
1,please customer ka problem main dhan di jiye
5,customer executive good well polite helped query great work keep
5,nice telling
3,product old damaged need exchange
2,enquiry development
1,return second time cancelled shopzilla give refund replacement soon possible waste time like harrasment
5,good combination
1,issue not even addressed till technician call scheduled yesterday receive call update yet
5,played last ipl season contest shopzilla win voucher till today credit tried calling customer care shopzilla many times succeed present feeling one cheatated thank best wishes shopzilla
5,osemmmmm service
5,thanks sir
5,geetanjali good
5,sweet
4,good customer excutive service shaurava aarama
1,no help
1,facing delivery issues plus member
1,rasing complaint consumer forum due negligence shopzilla support system received faulty product neither shopzilla taking ownership not
1,really really bad experience you闁剧粯娲濋崝鍛存嚇閻ㄥ reading please understand concern not satisfied product it闁剧粯娲濋崝鍛存嚇閻 defective sound hence raised return given time refund also approved team check also return pick given two times occasions member hasn闁剧粯娲濋崝鍛存嚇閻 came pick contacted several times cross check also delayed 10 days pick order didn闁剧粯娲濋崝鍛存嚇閻 happen till hence return policy dates seller crossed due failure picking item suffering shopzilla team superbuy best till date made huge mistake least replace item colour need also not better please take product give money original source shopzilla pay later go thruway see it闁剧粯娲濋崝鍛存嚇閻 mistake not picking item made wrong commitments saying refund approved cross check don闁剧粯娲濋崝鍛存嚇閻 know say horrible experience
5,thanks much supporting
4,thank shopzilla
1,sabse bekar company shopzilla har bar phone cancel kr deti h last pe bolti h seller ne cancel kiya etc etc
5,nice
1,worst customer service ever seen
5,good customer care
5,happy customer support
5,good
5,good
5,good
5,fhh
5,excellent customer thank ji
1,poor experience u fraud
5,well
5,good enfarmation
5,thanks
1,guys con expect anything
4,good
5,customer support good
5,customer care friendly helping hand
5,good service
5,happy solve issue
5,good way talking
1,return time cancelled delivery man not pick
5,ashwini champ
1,bad lose services web portal
5,thank support
5,thanks
5,good response well knowledge customer executive
1,sound
5,wishmaster repeatedly creating mischief not giving sale invoice item description often items found missing checked later
5,im satisfied n feeling good bcoz customer executive support solve problem talking politely thank u
1,not refund time
5,best
5,good
5,good
3,not good
1,issu solve nhi e sirf sorry bolte hai inko kya sorry bolne ki training de rhaki hai kya
2,please refund product product warranty available please technical issue refund product
1,cut call behaved rudely
5,thank much madam
5,delivery time product bad products not delivered time
5,prblm not fixed technical issue yet way explaining feel like prblm not fixeble would get fix kind polite forget name person humble
4,no
5,delivery boy behaviour poor
5,
5,good
5,difficult reach customer support delivered grocery items could not lodge complaint somehow managed get touch support executive
5,happy
4,well boat pretty big company 2 products defect not expected please pass feedback boat team serious quality issues
5,better
5,good
2,not able solve problem give customer care executive power solve queries otherwise no use customer care executive
5,thanks
4,customer support agent polite good communication skill
5,nothing happy
5,good
1,nhi lagta hai meri complaint resolve nhi hui h
5,thank shopzilla request completely working
5,nice
1,good
5,platefrom allready well customer 闁剧粯娲濋崝鍛存嚇閻 help
1,wasting time second time product receive
5,samajhdar ko ishara kafi
3,behavior nice
5,good
5,thanx
5,good effective team player assist
1,oder return
5,good impressed
5,verry happy good
1,every customer care different answers also not correct
5,good
1,bakwaas app
4,thank delivery product soon good
5,make easy contact support members
1,bad not solved problem
5,ok
1,worst service ever shopzilla
5,good
1,not communicating issues next level properly
5,5 5
5,please solve concern
1,change seller
5,thank good
5,support helpful thanks shopzilla
5,good
5,good
2,care tell provide oppo care center no mail know feedback support find right informationmy concern perchase bluetooth shopzilla named oppo enco m32 warranty 1year bluetooth not working right side tuttor want know process returning take warranty product no help side plss help concern
5,good
1,issue pending around 4 months still no resolution
5,no
4,nice custamr care help nes
1,not understanding issue correctly
4,sell different products high price
5,customer support executive great guy resolved issue simple way without problems problem happened reaching customer support executive rest good
5,good
5,nice
5,thank shopzilla good support love
4,please respond early possible
1,phone call went 32 mins without resolution executive basic understanding policy repeats thing no intention resolve issue
5,thank everything mujhe ache se ar k liye thank much
5,delivery executive haven闁剧粯娲濋崝鍛存嚇閻 given order marked delivered
5,good
5,plz kn solve problems plz
5,return pickup time long
5,good experience
5,good men owner uploaded petition member honest men
5,thank much
5,customer service good
5,done liked ur way talking
1,resolved issue quick possible
1,even not willing understand problem
5,good
5,good
5,nice person
4,customer service well mam ne bahot hi acche se baat kiya
5,improve wait time calls takes time call initiated shopzilla end
4,happy
4,customer kisi hai agar customer executive usko solve senior ko call transfer karna chahiye 2nd thik jab ek bahoot purane customer kuch problem face hai usko solve karna chahiye bt ki sunte
1,not happy shopzilla
5,best
5,give return directly not seller contact seller first replacement problems return much hectic procedure please simplify
5,good
5,good talk
1,callled number provided lg customer service even pick phone disappointed disgusting
4,everytime order see order put hold many day kindly fix
5,thanks deepak choudhary helping easy way
5,call disconnects middle conversation agents call back immediately
5,nice response supportive cooperation
1,ok
5,nice talk representative helped lot way dealing realy nice
1,customer support 100 assured deliver medicine shopzilla team 0 supported order cancelled
5,good
5,good cominication
5,thanks
1,fraud
5,thanks
5,good
5,good
5,mujhe acha lga ki bhot pyaar se samjhaya sir problem ka hal thx adaice
1,sad shopzilla
1,fruard company
5,excellent
5,solve problem thanks siri
5,please resolve issues earliest
5,best shopzilla care
1,
5,thankyou
3,delivery executive bad behaviour bolraha hai tum order office main dunga kya kare bataiye shopzilla support
5,nice good sarvesh thanks
5,happy
5,fine time need talk see nexxt time
1,bad feedback
5,refund money not coin
5,great
5,issue not resolve
5,good
1,hopelesss
5,purchasing product remotely online unsure performance based solely appearance functional visual flaws appear return replacement simple straightforward
5,thanks shopzilla team services
1,not happy anything forced selecting survey not moving ahead selected random option big
5,good service helpful conversation representative
1,worst service shopzilla usual
4,good support provided customer support executive
1,customer care agent ashish escalation department hung
1,please policeise flexible
5,na
5,nice performance customer support executive
5,happy shopzilla customer service hope problem resolve soon possible
5,good satisfied
1,return used phone
5,good service issues aslo solved thank shopzilla
5,easy contact
5,good conversation respect customers
5,available needed product
5,no good
1,try solve problem
5,customer care people shopzilla nice solved problem giving good suggestions thanks shopzillas
5,worst service form providing solution
5,overall good
5,know problem solve not hope best
5,everybody help
5,fully satisfied
5,good experience
5,uski bahan ki chut mere call per
5,good
5,good help
4,problem faced today due lack information provided shopzilla return policy need descriptive
5,thank sir
1,agents one solution please wait 24hrs resolve issue amount refunded back place new order
5,experience good customer support team help best like support team nature
1,using shopzilla many years time no executive resolve problem fed everything time calling calling still issue
5,shopzilla customer care service members supportable person
5,thaku
5,remove sellers giving rotten items platform
5,best best
5,helpful executive deserves appreciation
5,product must checked shopzilla team order customer delivery agency providing product not trustworthy received defective product last order e party speeker
5,thank
5,really nice
5,good
5,good coustomer service
5,excellent staff co operative friendly helping resolving issue immediately makes customers purchase shopzilla hats shopzilla keeping thank sir
4,long time hold
5,good
1,training require customer executive
5,thnku much
5,customer service good app experience not good
4,ok
5,good
1,delivery items another company not take proper answer
5,excellent
5,plz delivery product good quantity
5,super
4,take strict action delivery boy deliver product cancelled product without knowing customer executive good
5,good
1,guys say order within timeframe get particular date please time don闁剧粯娲濋崝鍛存嚇閻 cheat customers
3,got proper solution
5,consumer services fabulous tolk shopzilla costumer service specialists make easy solve problem thank shopzilla team
5,thank
5,good
5,strongly trust shopzilla
5,happy
5,good person
5,nice
5,spoken persons
3,tools resolve issue provide expect good outcome
5,kindly solve every issue two days
5,suport happy mam
1,beur bhadaura road school
5,helpful
5,good
4,please verify product packaging whether working not bcz customer facing issue
5,thanks mam
1,product diya hai return leta hai na replace hai
5,ok
5,happy
5,mr really helpful solved problem thank
5,05 ok
5,thanks helping
1,
3,dally
1,dilevery boy tamij nahi hain phone exchange old phone aaplicashndaunlod karke usko install karna bhi nahi ata
5,need make policies product issues
5,nice nature saport may issue risolv
5,superb
1,bad
5,awesome team
1,pooar service shopzilla
5,good talk us
1,poor quality
1,happy
5,good
5,thanks
4,since issue regarding missing accessory carry bag supposed inside box tyre inflator however issue customer support person suggested complete product replacement not required delay usage device apart additional logistics costs hence suggestion send missing part customer easy fast solution
5,good
5,nice helping nature
1,bad experience
5,satisfied
1,no shoping shopzilla
5,good
1,issue not resolved
1,no escalation matrix follow need agree mistakes
5,thanks
4,payment related issues facin
4,good
5,nice
1,address umarkhed number find tracking look not mine not item ordered no matter many times complain problem not resolved give item money tell customer giving date phone not answering request call solve problems think money grabbing organization like rest people trust given information bill removed item front customer representative please call ask customer representative check phone recording check lying confarance call speaking customer representative named rathod brought attention fact shaking head think sir tell
1,cell get disconnected
5,good happy speak
4,right time delevary
5,good
5,order received variance order attempted correct product instead canceling whole agent take note ensure circulated thus reaches feedback seller therefore one expect right product time
5,good communication
5,thanks
5,good service
5,thanks
5,thanks
1,executive rude
1,ishu not resolve
1,cheated employees working
1,no sulasn product definit demaze bi ha
5,problem not solv
5,problem resolved minutes shopzilla customer care absolutely fantastic handle problems sharp mind
3,not feeling good size products
1,3rd complaint issue not resolved till date every complaint told complaint resolve 3 days
5,thanks
5,nice service
1,wrote many mails support claim warranty nothing else working
4,issue not resolved delivery executive not taking ownership
5,overall good
5,please deal not deals delivery
5,none
5,nice
1,worsted aap ever
4,supop
2,add return policy also place replacement
1,nothing
5,good
5,good experience
5,good
1,much time resolve issue
5,good support customer service thank
5,delivery agent behaviour good towards coustmer
5,every thing good
1,horrible
5,interaction executive not end clear solution problem exhibits lack power customer support executive shopzilla customer end call nothing wait delivery product happen said time limit bounced next day saw no point conversation executive problem still remains added explanation situation always beginning
5,abhishek sir good
3,bad experience improve
5,good work nr shyeed plz change number
5,thanks
2,network issue
1,issue not resolved
1,no use talking executive think feel shopzilla one fake application looting people money
5,try instant refund process
4,product totally damaged
5,
1,waste give feedback raising complaint executive people asking stupid feedback instead solving issue waste time energy
5,really nice polite helpful address problems resolve
1,worrest service electronics
5,good call quetied solved
1,vfgg
4,thank
5,good
1,paid amount 13548 receipt showing amount 13148 400 rupees less please refund amount 400 ten days wise go consumer court hope resolve issue time soon possible thank regards
5,give man good raise thanks help bud
5,good
1,return request closedi not happy allready one year extended warranty
1,sud
5,return policy return pick method poor difficult return item delivery pick executives calling not reaching address canceling
5,hii iam debasish nish costumer service shopzilla
4,please quick installation
5,v good
3,return policy felixible reduced time taking resolve issue thanks
4,good job timing not good
5,good
3,bad service shopzilla
5,vary nice
5,good agent
1,pathetic support customer care services
5,thanks ur sport mam
1,last 4 months not solve issue
5,thank u much sir shopzilla customer care best
5,good
5,best communication helpful nature shopzilla customer service executive
5,consecutive 2 dates already delayed bad experience shopzilla ing service
5,good work men
5,feedback
5,good experience
3,thanks
5,excellent
5,complaint quick action required
5,gud job
5,talk good pick boy not come fast
5,top service
5,help center boy gentle listen properly took long time properly listen problem plssfix soon
5,thank customer care
5,good service
5,helpful whole conversation
5,nice
1,not solved problem
1,try check items delivering facing problem 2nd time hearing slow disturb valuable costumer
5,good services
5,easily connect customer supportplease provide particular option call customer support wise everything awesome
5,big pigeon world
1,no solution given customer support executive shown ownership product smells bad
5,v good consultant customer support
5,good
5,nis
4,time seller policy not good seller not understand problem make choice customer
5,problem solve time plz look
4,thanks support
5,better
1,unhappy service
5,good
1,8pm need come things need help bad service
5,really thanks support
5,ki hai mujhe lagta hai ki mari help hai achhi baat thanks please mari help kro
3,still concern unsolved
5,good
1,shopzilla grocery worst experience ordered 22 items delivery guys deliver 19 well act like 22 even count items tell 19 not listen mark order delivered
5,good
5,good
5,good work
5,thank
1,really frustrated upset order not received stipulated date time plz take action asap want order
1,refund nahi raha
5,overall sense good like shopzilla
5,need little bit easier customers policies
5,good quickly thank
5,executive good shopzilla policies worst
5,satisfied talk employee
5,
4,good
5,good work
5,customer service executive polite good behaviour satisfied response want refund incomplete order
5,make easy contact support members
5,good good
5,nice meet shoport
5,awesome
1,put hold 5 minutes disconnected call
1,jeeves fraud company shopzilla
5,kindly make available reginal languages person contact customer service
5,happy talked miss soniya talked solved problem thanku
5,good
5,good
3,nice
5,good speaking
5,however receive solution complaint complaint forwarded next level received apology facing trouble would advise instead closing genuine complained apology statement shopzilla strive towards solving issues effective satisfactory remedies way lead market
5,love shopzilla
1,offer axis bank credit card discount done order give cash back cancel order
5,great guy understood every aspect solved query ease keep going boy
5,thanks
5,abhi tk sb thk h
5,request please solve essue
5,good
1,neither app nor appropriately knowledge delay reasons
5,first time face problem face
5,good
5,nice
5,customer care executive polite repetitive politeness statements pleasantries could reduce otherwise understood complaint resolved needed
5,please check product internally first
4,good behaviour
5,good customer service
5,thank shopzilla executive solve issue thanks help
5,tell location call centre still giving csat apology empathy assurance missing need work
3,bad experience return many time follow back
5,good experience aniket ji
5,nice customer support easy explanation
5,easy reaching thorough call
5,good
5,nice talking
1,open box delivery damaged payment refunded instantly
5,nice talk guy happy
5,payment issue problem
4,help customers product service related complaint
4,good
1,u
1,voice unclear resolve thank
1,customer executive gave wrong information
5,love
5,ok
4,thanks
5,good
5,nice customer support
5,happy
1,waste service
5,niceee
5,great thanks
1,not happy not resolved issue tired give complaints not resolved issue valuable costomer issue not resolved make decision closed shopzilla use app next order
5,always happy shopping shopzilla never purchase side always purchase whether big billion sale not always happy support
1,worst information
1,nice service
5,good
1,service provider not responding
2,power bank
5,good
4,best
1,execute know anything asked shopzilla pay later blocked gave idfc bank customer care number asked ask called options computer gave matched nothing related matter uneducated executive
5,good work
5,polite
5,make sure product information product sent matching
5,good support executive
5,good
5,good
1,pathetic customer supportpathetic services people care anything harassment would better word services
5,nyc person talk
5,nice call understand
5,good
5,good
5,super exicutive support
5,u hv quality beat employee
5,thank
5,fast
5,thanks supporting
3,instead chat bot answer queries customer agent talk customers al least option customer contact customer representative
4,bad delivery bad packaging
5,top girl nice voice
1,u give service buy product
1,senior executive dumb didi not know handle customer resolve issue asking resolution put call mute shopzilla service
4,sometimes size chart different actual size please update size chart per brands
1,kindly deliver correct product delivered wrong product twice
1,worst service not expected shopzilla others online platform best shopzilla regular customer bad experience
5,nice talk customer care
4,good sarvise
4,please provide toll free number esliye call customer
5,customer service helpful
1,shopzilla cheap quality business start said
5,customer executive really good sincere big company like shopzilla give space top management customer satisfaction effected executive good
5,produced damage
1,issue not resolved even interaction customer care
1,pathetic service pathetic service
5,nice speaking yaar
5,good behavior
5,no
5,no problem experience quit good
1,charger not working pzl return
5,good consult agent
5,good thanks
5,give chance customer choose delivery courier place courier office service not good effected
4,happy
5,thank
5,inspect sellers regularly display rating website like earlier u guys used helped us taking informed decision
1,wrong product receive complete different product different colour brand design please help accept issue solve problem much frustrated bad service hate sailor much disgusting person issue not accept salesman bad person show something else sell something else money not returned lost 5 399rs please help
5,super madam
1,good
5,happy
5,thank
1,pathetic customer care
5,good
5,good
5,good interaction
5,ok
5,nice meet
1,product damge return product
5,good
2,make installation process bookings support much easier
5,make sure executive get educated like bcoz not educated ur system
5,nice person
5,customer support employee good behavior
5,nice
5,happy costumes care thankyou shopzilla
5,good
5,issue offer recent orders 100 applied paying paytm wallet yet received wallet hopefully waiting resolution issue asap
1,ordered white colour mug received black mug it闁剧粯娲濋崝鍛存嚇閻 10days delayed expected date
5,good communication
4,
5,executive humble professional
1,2
5,thankyou costomer sport
5,thanks support
1,false promises made shopzilla installation related 1st aug 23 vu glo led tv delivered notification updated installation done 03r aug 2023 4th aug 2023 no updates
5,good work
5,good
5,good behaviour
5,good
5,thank much
5,nice cordinator
5,please ensure type electronic products warranty related services provided home related companies insurer like jeeves please bother customer go service center shopping online not face hassles market want send us back not good thing everything else fine
5,like confidence
5,thank
5,professional well behaved customer service happy resolution provided thanx
4,worst service shopzilla smartbuy support
1,bad response shopzilla
1,think give atleast 12 hours choose color combination mobile order sometimes costumer realize order cant change color although love shopping always fulfills aspects costumer new products new offers
5,shopzilla customer care goods please broken product please refund
1,hat delever agent
5,good
5,best
1,please resolve issue asap totally frustrated no help provided
5,good conversation agent thank
5,good
5,thanks support love
1,watch problem
4,everything okey
1,clearly write combo product one physical another one soft copy
1,delivery timing bad
1,customer care sit chair eat food nothing zero knowledge anything manager also like
1,need refund back original account
1,issue not resloved till date post tweets tweeter case shopzilla
5,dhdjdj
1,received poor quality products well missing products 3 green coconuts not even drop water defective coconut delivered complained matter customer support no help return product gave time solution closed complaint called saying return policy expired
5,please chat product delivery
5,helpful executive
1,shopzilla se kuch bhi kharidneka nahi 3rd party installation service boy ka attitude behaviour nahi aur installation ke liea call karahee location batanse bhi nahi arahee aur 4 days installation delay karhhee aur jhutmutme sms bhejrhee ki customer se bat nahihoparhee bolke daily miss call derahee apna side se call karnse lift immediately action lelijea
1,order not delivered
5,happy
5,please understand problem customer
1,much time take respond
4,please changed policy consuming products sellers sale fake products no return policy take profit type activity bad effect shopzilla image
2,please fruit full action issue not try fool customers like mr
1,bad response customer service till problem not solved today last date refund
5,super
5,call time may reduced not big issue way thanking
5,good call bhich cut ki hai not good
5,good
5,good
5,pls provide information product size specification even small photo difficult judge original size customer confuse
5,thankyou sir
1,bad service customer support agent solve issue disconnected call thier side
5,good helpful thanks
5,good
5,wonderful
5,thanks
5,good
5,it闁剧粯娲濋崝鍛存嚇閻 good experience talk keep supporting peoples like mii 闁剧粯娲濋崝鍛存⒔
5,nice person
1,get drunkards attend call
5,giving bad response
5,good
1,consultants not understand concern keep repeating issue
5,shopzilla customer service good like customer service
5,executive understand query gives correct information
5,helpful
5,no
5,good
2,not interested
5,good knowledge humble
5,good service
5,good
4,experience consultant good way talking understanding problem good闁剧粯娲濋崝鍛存⒔婵 瘈t policy seller reason didn闁剧粯娲濋崝鍛存嚇閻 get good support consultant good got happy call policy regarding return exchange thankyou
1,no
1,1000 extra take
3,thank
5,agent helpful
5,good
5,nothing
5,shopzilla service better others
5,committed coustmer weather done not take follow
5,good
5,good
5,good
5,good
1,bad app
5,thanks
5,issue delivery executive
5,nice service
3,good
5,service care good information happy
1,issue not resolved seller time colling seller side not responding charging cable not work facing big problem
